case_key,earliest_file,latest_file,earliest_count,latest_count,delta,sample_latest
2023-680829,2023-680829_20251117_103218.json,2023-680829_20251117_103218.json,4,4,0,"2905.02.A(1) | 2905.02.A(2) | 2903.13.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-684478,2023-684478_20251118_161504.json,2023-684478_20251118_161504.json,3,3,0,"2903.13.A | 2903.13.A | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-677672,2023-677672_20251116_111237.json,2023-677672_20251116_111237.json,4,4,0,"2921.331.B | 2921.12.A(1) | 2913.51.A | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-697823,2024-697823_20251120_052024.json,2024-697823_20251120_052024.json,5,5,0,"2911.12.B | 2903.11.A(1) | 2921.31.A | 2921.31.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-694993,2024-694993_20251119_212730.json,2024-694993_20251119_212730.json,5,5,0,"2911.12.A(2) | 2911.12.A(3) | 2903.211.A(1) | 2903.211.(A)(2)(A) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-690274,2024-690274_20251119_093921.json,2024-690274_20251119_093921.json,4,4,0,"2909.05.B(1)(B) | 2909.05.B(1)(A) | 2909.05.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-678602,2023-678602_20251116_191204.json,2023-678602_20251116_191204.json,4,4,0,"2913.51.A | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2025-701393,2025-701393_20251120_202623.json,2025-701393_20251120_202623.json,5,5,0,"2903.11.A(1) | 2903.11.A(2) | 2919.25.A | {'type': '10% CASH', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2025-698701,2025-698701_20251120_075658.json,2025-698701_20251120_075658.json,2,2,0,"2921.38.A | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-684199,2023-684199_20251118_152440.json,2023-684199_20251118_152440.json,4,4,0,"2913.51.A | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-679943,2023-679943_20251117_084939.json,2023-679943_20251117_084939.json,2,2,0,"2925.11.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-677934,2023-677934_20251116_134338.json,2023-677934_20251116_134338.json,6,6,0,2903.01.A | 2903.02.A | 2903.02.B | 2903.11.A(1) | 2903.11.A(2)
2024-689461,2024-689461_20251119_073021.json,2024-689461_20251119_073021.json,2,2,0,"2913.02.A(1) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-688836,2024-688836_20251119_052649.json,2024-688836_20251119_052649.json,2,2,0,"2913.04.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-689705,2024-689705_20251119_075939.json,2024-689705_20251119_075939.json,4,4,0,"2911.13.A | 2909.05.B(1)(B) | 2913.02.A(1) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2025-699906,2025-699906_20251120_123502.json,2025-699906_20251120_123502.json,8,8,0,2903.04.A | 2903.11.A(2) | 2903.02.A | 2903.11.A(2) | 2923.162.A(3)
2023-683967,2023-683967_20251111_094142.json,2023-683967_20251111_094142.json,7,7,0,
2023-677927,2023-677927_20251116_133958.json,2023-677927_20251116_133958.json,6,6,0,"2903.13.A | 2903.13.A | 2919.25.A | 2921.31.A | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2025-701638,2025-701638_20251120_212144.json,2025-701638_20251120_212144.json,8,8,0,2921.03.A | 2903.211.A(1) | 2903.211.A(1) | 2903.211.(A)(2)(A) | 2917.21.A(6)
2023-681497,2023-681497_20251117_120828.json,2023-681497_20251117_120828.json,4,4,0,"2907.03.A(5) | 2919.22.B(1) | 2907.05.A(4) | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-678520,2023-678520_20251116_182737.json,2023-678520_20251116_182737.json,2,2,0,"2909.15.H | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-681968,2023-681968_20251117_133104.json,2023-681968_20251117_133104.json,4,4,0,"2903.11.A(1) | 2903.11.A(2) | 2903.21.A | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-682653,2023-682653_20251118_111026.json,2023-682653_20251118_111026.json,3,3,0,"2921.32.A(1) | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-694599,2024-694599_20251119_201348.json,2024-694599_20251119_201348.json,5,5,0,"2925.11.A | 4511.19.A(1)(A) | 4511.19.A(1)(A) | 4511.19.A(2)(A) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-690027,2024-690027_20251119_084505.json,2024-690027_20251119_084505.json,4,4,0,"2917.11.A(5) | 2921.31.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-695567,2024-695567_20251119_225604.json,2024-695567_20251119_225604.json,7,7,0,2913.02.A(1) | 2913.02.A(1) | 2911.31.A | 2903.21.A | 2919.25.C
2023-677892,2023-677892_20251116_132354.json,2023-677892_20251116_132354.json,25,25,0,2907.322.A(1) | 2907.322.A(1) | 2907.322.A(1) | 2907.322.A(1) | 2907.322.A(1)
2023-686891,2023-686891_20251118_232056.json,2023-686891_20251118_232056.json,6,6,0,"2923.13.A(2) | 2923.13.A(3) | 2923.16.B | 2913.51.A | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-682214,2023-682214_20251111_071041.json,2023-682214_20251111_071041.json,7,7,0,
2024-688671,2024-688671_20251119_044429.json,2024-688671_20251119_044429.json,6,6,0,2911.02.A(1) | 2913.02.A(1) | 2921.331.B | 2923.12.(A)(2) | 2909.05.B(2)
2024-695556,2024-695556_20251119_225128.json,2024-695556_20251119_225128.json,3,3,0,"2913.02.A(2) | 2913.03.B | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2025-700778,2025-700778_20251120_154409.json,2025-700778_20251120_154409.json,4,4,0,"2911.02.A(2) | 2911.02.A(3) | 2913.02.A(1) | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2025-702084,2025-702084_20251120_232532.json,2025-702084_20251120_232532.json,3,3,0,"2911.211.(A)(1) | {'type': '10% CASH', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2025-703217,2025-703217_20251121_024651.json,2025-703217_20251121_024651.json,2,2,0,"2925.11.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-686761,2023-686761_20251111_134539.json,2023-686761_20251111_134539.json,4,4,0,
2023-681701,2023-681701_20251117_123825.json,2023-681701_20251117_123825.json,3,3,0,"2919.25.A | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-695419,2024-695419_20251119_222705.json,2024-695419_20251119_222705.json,4,4,0,"2909.05.B(1)(B) | 2909.05.B(1)(A) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-694763,2024-694763_20251119_204713.json,2024-694763_20251119_204713.json,2,2,0,"2909.02.A(2) | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-691253,2024-691253_20251119_120807.json,2024-691253_20251119_120807.json,3,3,0,"2913.02.A(1) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-689065,2024-689065_20251119_061618.json,2024-689065_20251119_061618.json,5,5,0,"2911.12.B | 2903.13.A | 2921.33.B | 2921.13.A(03) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-687813,2023-687813_20251119_021646.json,2023-687813_20251119_021646.json,4,4,0,"2911.02.A(2) | 2911.02.A(3) | 2913.02.A(1) | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-677651,2023-677651_20251116_110216.json,2023-677651_20251116_110216.json,5,5,0,"2909.05.B(1)(A) | 2909.03.A(1) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-680161,2023-680161_20251110_142740.json,2023-680161_20251110_142740.json,8,8,0,
2023-678655,2023-678655_20251116_193312.json,2023-678655_20251116_193312.json,6,6,0,"2925.11.A | 2925.11.A | 2925.11.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-692341,2024-692341_20251119_144539.json,2024-692341_20251119_144539.json,3,3,0,"2903.13.A | 2903.13.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-688663,2024-688663_20251119_044559.json,2024-688663_20251119_044559.json,3,3,0,"2903.11.A(2) | 2923.13.A(2) | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-692309,2024-692309_20251119_144008.json,2024-692309_20251119_144008.json,7,7,0,2907.02.A(2) | 2907.05.A(1) | 2903.18.(B)(1) | 2903.18.(B)(2) | 2903.18.(B)(3)
2025-700210,2025-700210_20251120_133654.json,2025-700210_20251120_133654.json,4,4,0,"2911.02.A(2) | 2911.02.A(3) | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2025-698404,2025-698404_20251120_065604.json,2025-698404_20251120_065604.json,8,8,0,"2909.03.A(1) | 2911.13.A | 2919.25.A | 2911.12.B | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2025-698865,2025-698865_20251120_084039.json,2025-698865_20251120_084039.json,6,6,0,2903.04 | 2903.02.B | 2903.11.A(1) | 2903.11.A(2) | 2923.12.A(2)
2023-684692,2023-684692_20251111_104601.json,2023-684692_20251111_104601.json,4,4,0,
2023-677947,2023-677947_20251116_135114.json,2023-677947_20251116_135114.json,9,9,0,2911.02.A(2) | 2905.02.A(2) | 2919.25.A | 2913.02.A(1) | 2909.06.A(1)
2023-684559,2023-684559_20251118_163118.json,2023-684559_20251118_163118.json,3,3,0,"2903.12.A(1) | 2903.11.A(2) | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-687896,2023-687896_20251111_151656.json,2023-687896_20251111_151656.json,4,4,0,
2023-678279,2023-678279_20251116_164256.json,2023-678279_20251116_164256.json,4,4,0,"2921.331.B | 2921.331.B | 2913.51.A | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-685268,2023-685268_20251111_113845.json,2023-685268_20251111_113845.json,5,5,0,
2023-680880,2023-680880_20251110_151408.json,2023-680880_20251110_151408.json,5,5,0,
2023-678819,2023-678819_20251116_205342.json,2023-678819_20251116_205342.json,3,3,0,"2903.13.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-689691,2024-689691_20251119_075410.json,2024-689691_20251119_075410.json,4,4,0,"2919.22.A | 2903.11.A(1) | 2919.25.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-692544,2024-692544_20251119_151720.json,2024-692544_20251119_151720.json,2,2,0,"2919.25.A | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-697667,2024-697667_20251120_044844.json,2024-697667_20251120_044844.json,4,4,0,"2911.01.A(1) | 2911.02.A(2) | 2923.13.A(2) | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-695661,2024-695661_20251119_231521.json,2024-695661_20251119_231521.json,3,3,0,"2911.12.A(1) | 2911.12.A(3) | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-693267,2024-693267_20251119_164339.json,2024-693267_20251119_164339.json,6,6,0,2911.11.A(1) | 2903.18.(B)(3) | 2903.13.A | 2913.02.A(1) | 2921.33.A
2025-698424,2025-698424_20251120_070406.json,2025-698424_20251120_070406.json,3,3,0,"2911.13.A | 2913.02.A(1) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2025-698767,2025-698767_20251120_081243.json,2025-698767_20251120_081243.json,10,10,0,2903.01.A | 2903.02.A | 2903.02.B | 2911.11.A(1) | 2911.11.A(2)
2025-698663,2025-698663_20251120_075137.json,2025-698663_20251120_075137.json,16,16,0,2903.02.A | 2903.02.A | 2903.11.A(1) | 2903.11.A(2) | 2903.11.A(1)
