file_path,match_count
"out/2023/2023-687217_20251119_001756.json",3
"out/2023/2023-678064_20251116_150100.json",2
"out/2023/2023-683014_20251111_081546.json",1
"out/2023/2023-680855_20251111_051455.json",1
"out/2023/2023-687164_20251119_000731.json",2
"out/2023/2023-683121_20251111_082558.json",1
"out/2023/2023-682621_20251111_074110.json",1
"out/2023/2023-682712_20251111_074553.json",1
"out/2023/2023-680820_20251111_051041.json",1
"out/2023/2023-677672_20251116_111237.json",2
"out/2023/2023-683884_20251111_093424.json",2
"out/2023/2023-680669_20251111_045828.json",1
"out/2023/2023-683733_20251112_170542.json",1
"out/2023/2023-678057_20251116_145554.json",3
"out/2023/2023-681900_20251117_131544.json",3
"out/2023/2023-687703_20251111_150353.json",1
"out/2023/2023-683736_20251111_091829.json",1
"out/2023/2023-687813_20251119_021646.json",6
"out/2023/2023-679547_20251110_195019.json",1
"out/2023/2023-681116_20251111_053427.json",1
"out/2023/2023-681497_20251117_120828.json",3
"out/2023/2023-682647_20251118_110530.json",3
"out/2023/2023-687282_20251111_143057.json",1
"out/2023/2023-684674_20251111_104438.json",1
"out/2023/2023-683218_20251111_083437.json",1
"out/2023/2023-686592_20251118_223222.json",3
"out/2023/2023-683445_20251118_132605.json",3
"out/2023/2023-685465_20251111_115146.json",2
"out/2023/2023-687272_20251119_002828.json",3
"out/2023/2023-680520_20251111_044521.json",2
"out/2023/2023-682240_20251111_071256.json",1
"out/2023/2023-682033_20251111_065500.json",1
"out/2023/2023-677651_20251116_110216.json",3
"out/2023/2023-681778_20251117_125716.json",3
"out/2023/2023-678201_20251116_161058.json",2
"out/2023/2023-687227_20251119_001901.json",3
"out/2023/2023-682119_20251110_163818.json",1
"out/2023/2023-684987_20251109_212047.json",2
"out/2023/2023-681428_20251111_060358.json",1
"out/2023/2023-687577_20251111_145337.json",1
"out/2023/2023-686081_20251111_124432.json",1
"out/2023/2023-680683_20251111_050120.json",1
"out/2023/2023-678051_20251116_145152.json",2
"out/2023/2023-682363_20251117_143905.json",3
"out/2023/2023-684298_20251118_154056.json",3
"out/2023/2023-679189_20251110_191918.json",1
"out/2023/2023-685039_20251111_111848.json",1
"out/2023/2023-680245_20251117_091629.json",3
"out/2023/2023-677931_20251116_134121.json",3
"out/2023/2023-686030_20251118_203809.json",2
"out/2023/2023-680282_20251111_035909.json",2
"out/2023/2023-677793_20251116_122226.json",2
"out/2023/2023-678546_20251116_184413.json",3
"out/2023/2023-682464_20251111_073216.json",1
"out/2023/2023-685140_20251111_112841.json",1
"out/2023/2023-686862_20251118_231654.json",3
"out/2023/2023-685421_20251118_184452.json",3
"out/2023/2023-682433_20251117_144752.json",3
"out/2023/2023-677993_20251116_142113.json",3
"out/2023/2023-687216_20251119_001756.json",3
"out/2023/2023-678434_20251116_174201.json",3
"out/2023/2023-681108_20251111_053314.json",1
"out/2023/2023-685430_20251111_114939.json",1
"out/2023/2023-678807_20251116_204827.json",3
"out/2023/2023-683357_20251111_084853.json",1
"out/2023/2023-677973_20251116_140755.json",2
"out/2023/2023-687773_20251119_020918.json",3
"out/2023/2023-677995_20251116_142210.json",2
"out/2023/2023-685222_20251111_113457.json",1
"out/2023/2023-685149_20251118_180405.json",2
"out/2023/2023-678137_20251116_155037.json",3
"out/2023/2023-682012_20251111_065327.json",1
"out/2023/2023-678433_20251116_174107.json",3
"out/2023/2023-682374_20251111_072655.json",1
"out/2023/2023-687519_20251111_144803.json",1
"out/2023/2023-678389_20251116_172232.json",3
"out/2023/2023-679174_20251110_191745.json",1
"out/2023/2023-679327_20251110_193108.json",1
"out/2023/2023-682526_20251117_150653.json",3
"out/2023/2023-681341_20251111_055431.json",1
"out/2023/2023-684018_20251111_094455.json",1
"out/2023/2023-684904_20251118_172118.json",3
"out/2023/2023-687300_20251119_003245.json",3
"out/2023/2023-683790_20251111_092352.json",1
"out/2023/2023-678966_20251110_190110.json",2
"out/2023/2023-682552_20251117_151523.json",6
"out/2023/2023-687500_20251119_011846.json",3
"out/2023/2023-687590_20251119_013823.json",2
"out/2023/2023-677971_20251116_140628.json",3
"out/2023/2023-683066_20251118_122910.json",6
"out/2023/2023-679181_20251110_132517.json",6
"out/2023/2023-678442_20251116_174636.json",3
"out/2023/2023-685000_20251111_111403.json",1
"out/2023/2023-681730_20251117_124655.json",3
"out/2023/2023-678121_20251116_154040.json",3
"out/2023/2023-684948_20251118_172501.json",3
"out/2023/2023-683869_20251118_143636.json",3
"out/2023/2023-686567_20251111_132858.json",2
"out/2023/2023-686212_20251111_125256.json",1
"out/2023/2023-684826_20251227_041831.json",2
"out/2023/2023-680400_20251117_093708.json",3
"out/2023/2023-683180_20251111_083159.json",1
"out/2023/2023-682413_20251111_072949.json",1
"out/2023/2023-681610_20251117_122630.json",2
"out/2023/2023-679332_20251110_193131.json",1
"out/2023/2023-687441_20251119_010425.json",3
"out/2023/2023-686687_20251111_134018.json",1
"out/2023/2023-680641_20251111_045423.json",1
"out/2023/2023-682151_20251111_070350.json",1
"out/2023/2023-686236_20251111_125537.json",1
"out/2023/2023-686766_20251111_134607.json",1
"out/2023/2023-680691_20251111_050146.json",2
"out/2023/2023-677947_20251116_135114.json",2
"out/2023/2023-683688_20251111_091513.json",2
"out/2023/2023-679591_20251110_195803.json",1
"out/2023/2023-679661_20251110_200444.json",1
"out/2023/2023-679329_20251110_193108.json",1
"out/2023/2023-678010_20251116_143100.json",3
"out/2023/2023-677802_20251116_122856.json",3
"out/2023/2023-686572_20251118_222444.json",3
"out/2023/2023-677999_20251116_142549.json",6
"out/2023/2023-677590_20251116_103154.json",2
"out/2023/2023-686709_20251111_134221.json",1
"out/2023/2023-678590_20251116_190516.json",3
"out/2023/2023-685054_20251111_112013.json",2
"out/2023/2023-678935_20251110_185913.json",1
"out/2023/2023-679541_20251110_195018.json",1
"out/2023/2023-677794_20251116_122325.json",2
"out/2023/2023-682788_20251111_075511.json",1
"out/2023/2023-677883_20251116_131804.json",6
"out/2023/2023-684184_20251111_100346.json",1
"out/2023/2023-680730_20251110_150048.json",1
"out/2023/2023-684826_20260101_124157.json",2
"out/2023/2023-679225_20251110_192125.json",1
"out/2023/2023-678432_20251116_174013.json",3
"out/2023/2023-686086_20251111_124456.json",1
"out/2023/2023-684300_20251111_101310.json",1
"out/2023/2023-678606_20251116_191355.json",3
"out/2023/2023-683697_20251111_091537.json",1
"out/2023/2023-686697_20251111_134038.json",1
"out/2023/2023-682844_20251111_075918.json",1
"out/2023/2023-685944_20251111_122946.json",1
"out/2023/2023-684912_20251118_172223.json",4
"out/2023/2023-687484_20251119_011641.json",3
"out/2023/2023-683204_20251118_125129.json",3
"out/2023/2023-682830_20251111_075744.json",1
"out/2023/2023-679519_20251117_074837.json",3
"out/2023/2023-686341_20251111_130701.json",2
"out/2023/2023-678520_20251116_182737.json",3
"out/2023/2023-684792_20251118_170007.json",3
"out/2023/2023-684286_20251111_100945.json",1
"out/2023/2023-683756_20251118_140943.json",4
"out/2023/2023-686358_20251118_214312.json",3
"out/2023/2023-679848_20251110_202221.json",2
"out/2023/2023-686997_20251118_234045.json",3
"out/2023/2023-678125_20251116_154355.json",3
"out/2023/2023-684334_20251118_155005.json",3
"out/2023/2023-687697_20251119_015529.json",3
"out/2023/2023-685626_20251118_192433.json",3
"out/2023/2023-678059_20251116_145746.json",2
"out/2023/2023-681985_20251117_133329.json",3
"out/2023/2023-677622_20251116_104908.json",2
"out/2023/2023-682317_20251117_142725.json",3
"out/2023/2023-681120_20251111_053428.json",1
"out/2023/2023-677763_20251116_120358.json",2
"out/2023/2023-681701_20251117_123825.json",3
"out/2023/2023-684970_20251111_111209.json",1
"out/2023/2023-677933_20251116_134311.json",2
"out/2023/2023-677920_20251116_133401.json",3
"out/2023/2023-684756_20251111_105228.json",1
"out/2023/2023-686891_20251118_232056.json",3
"out/2023/2023-682346_20251117_143412.json",3
"out/2023/2023-682735_20251118_112459.json",3
"out/2023/2023-685941_20251112_172639.json",1
"out/2023/2023-679169_20251110_191658.json",1
"out/2023/2023-686655_20251118_224601.json",9
"out/2023/2023-680829_20251117_103218.json",6
"out/2023/2023-680693_20251111_050146.json",1
"out/2023/2023-681017_20251111_052644.json",1
"out/2023/2023-682730_20251118_112257.json",2
"out/2023/2023-685099_20251111_112608.json",1
"out/2023/2023-682758_20251118_113040.json",3
"out/2023/2023-687563_20251111_145210.json",1
"out/2023/2023-678138_20251116_155132.json",3
"out/2023/2023-683049_20251111_081758.json",1
"out/2023/2023-680249_20251117_091733.json",3
"out/2023/2023-679607_20251110_195846.json",1
"out/2023/2023-687664_20251111_145910.json",1
"out/2023/2023-680487_20251117_094711.json",2
"out/2023/2023-681163_20251116_081908.json",3
"out/2023/2023-679934_20251110_203038.json",1
"out/2023/2023-685468_20251111_115204.json",1
"out/2023/2023-687352_20251119_004910.json",3
"out/2023/2023-684162_20251112_170939.json",3
"out/2023/2023-686641_20251118_224317.json",2
"out/2023/2023-686564_20251118_221839.json",3
"out/2023/2023-685936_20251111_122919.json",1
"out/2023/2023-687567_20251119_012709.json",2
"out/2023/2023-681190_20251110_153207.json",3
"out/2023/2023-681083_20251111_053149.json",1
"out/2023/2023-687949_20251119_024031.json",4
"out/2023/2023-679716_20251112_162616.json",1
"out/2023/2023-683701_20251111_091557.json",1
"out/2023/2023-686589_20251118_223039.json",1
"out/2023/2023-681350_20251111_055451.json",1
"out/2023/2023-684217_20251118_153057.json",3
"out/2023/2023-685088_20251111_112241.json",1
"out/2023/2023-684984_20251111_111313.json",1
"out/2023/2023-682501_20251117_150150.json",3
"out/2023/2023-683206_20251118_125130.json",3
"out/2023/2023-677892_20251116_132354.json",2
"out/2023/2023-681640_20251117_123113.json",2
"out/2023/2023-685916_20251111_122744.json",2
"out/2023/2023-678228_20251116_162619.json",3
"out/2023/2023-678279_20251116_164256.json",3
"out/2023/2023-680201_20251110_142917.json",3
"out/2023/2023-685241_20251118_181832.json",3
"out/2023/2023-679113_20251116_082028.json",3
"out/2023/2023-679086_20251110_191108.json",1
"out/2023/2023-681734_20251116_081425.json",3
"out/2023/2023-685125_20251118_175804.json",2
"out/2023/2023-685372_20251118_183627.json",2
"out/2023/2023-680873_20251117_104102.json",3
"out/2023/2023-687775_20251119_020946.json",9
"out/2023/2023-677990_20251116_141831.json",3
"out/2023/2023-681250_20251117_112358.json",3
"out/2023/2023-680865_20251111_051607.json",1
"out/2023/2023-681779_20251117_125720.json",2
"out/2023/2023-684951_20251111_111037.json",2
"out/2023/2023-677926_20251116_133902.json",3
"out/2023/2023-687841_20251119_022334.json",3
"out/2023/2023-678190_20251116_160324.json",3
"out/2023/2023-685458_20251111_115145.json",1
"out/2023/2023-686901_20251111_135457.json",1
"out/2023/2023-681386_20251111_055730.json",2
"out/2023/2023-677997_20251116_142358.json",3
"out/2023/2023-684838_20251111_110020.json",2
"out/2023/2023-681968_20251117_133104.json",6
"out/2023/2023-680126_20251117_090437.json",3
"out/2023/2023-686865_20251118_231827.json",9
"out/2023/2023-677904_20251116_132647.json",3
"out/2023/2023-677745_20251116_115131.json",3
"out/2023/2023-681382_20251111_055706.json",1
"out/2023/2023-687392_20251119_005439.json",3
"out/2023/2023-686051_20251118_204145.json",3
"out/2023/2023-684199_20251118_152440.json",3
"out/2023/2023-680880_20251110_151408.json",6
"out/2023/2023-687050_20251118_235002.json",3
"out/2023/2023-679369_20251117_072012.json",3
"out/2023/2023-678898_20251110_185602.json",1
"out/2023/2023-683753_20251118_140651.json",3
"out/2023/2023-685136_20251111_112817.json",2
"out/2023/2023-683172_20251118_124510.json",3
"out/2023/2023-678534_20251116_183629.json",3
"out/2023/2023-682914_20251111_080800.json",1
"out/2023/2023-678657_20251116_193442.json",3
"out/2023/2023-677658_20251116_110742.json",2
"out/2023/2023-686761_20251111_134539.json",1
"out/2023/2023-682567_20251117_151547.json",6
"out/2023/2023-687079_20251111_141359.json",1
"out/2023/2023-680215_20251111_010003.json",1
"out/2023/2023-683930_20251118_144501.json",2
"out/2023/2023-679943_20251117_084939.json",3
"out/2023/2023-681002_20251111_052525.json",1
"out/2023/2023-687743_20251119_020459.json",3
"out/2023/2023-683259_20251111_083930.json",1
"out/2023/2023-681362_20251111_055541.json",1
"out/2023/2023-682441_20251117_144743.json",2
"out/2023/2023-682388_20251111_072830.json",1
"out/2023/2023-687348_20251111_143542.json",1
"out/2023/2023-687038_20251118_234401.json",3
"out/2023/2023-678847_20251116_210934.json",3
"out/2023/2023-685268_20251111_113845.json",2
"out/2023/2023-678881_20251110_185449.json",1
"out/2023/2023-684080_20251111_095311.json",1
"out/2023/2023-683200_20251118_125104.json",6
"out/2023/2023-679304_20251110_192922.json",1
"out/2023/2023-686733_20251118_225950.json",2
"out/2023/2023-680942_20251117_104903.json",3
"out/2023/2023-685765_20251111_121706.json",1
"out/2023/2023-686166_20251118_211323.json",3
"out/2023/2023-682452_20251117_145116.json",3
"out/2023/2023-683507_20251111_090353.json",1
"out/2023/2023-681385_20251111_055707.json",1
"out/2023/2023-687831_20251119_022100.json",6
"out/2023/2023-687382_20251119_005313.json",3
"out/2023/2023-686760_20251111_134539.json",1
"out/2023/2023-677764_20251116_120426.json",3
"out/2023/2023-687502_20251119_011924.json",3
"out/2023/2023-684374_20251118_155716.json",3
"out/2023/2023-682718_20251118_112019.json",2
"out/2023/2023-678747_20251116_202012.json",3
"out/2023/2023-681731_20251117_124553.json",6
"out/2023/2023-686497_20251118_220616.json",3
"out/2023/2023-682018_20251111_065352.json",1
"out/2023/2023-681746_20251117_125000.json",3
"out/2023/2023-685835_20251111_122216.json",1
"out/2023/2023-681774_20251111_063212.json",2
"out/2023/2023-687137_20251119_000240.json",3
"out/2023/2023-684666_20251111_104412.json",1
"out/2023/2023-684559_20251118_163118.json",4
"out/2023/2023-683611_20251116_075300.json",3
"out/2023/2023-687643_20251119_014733.json",6
"out/2023/2023-682725_20251118_112019.json",3
"out/2023/2023-681340_20251111_055431.json",1
"out/2023/2023-678774_20251116_203417.json",3
"out/2023/2023-677835_20251116_125044.json",2
"out/2023/2023-682247_20251117_140816.json",3
"out/2023/2023-678945_20251110_185939.json",1
"out/2023/2023-677992_20251116_142019.json",3
"out/2023/2023-679570_20251110_195410.json",1
"out/2023/2023-687388_20251119_005354.json",6
"out/2023/2023-685364_20251111_114459.json",1
"out/2023/2023-685457_20251111_115100.json",1
"out/2023/2023-685420_20251118_184509.json",3
"out/2023/2023-684911_20251118_172222.json",3
"out/2023/2023-681819_20251111_063710.json",1
"out/2023/2023-686061_20251118_204952.json",3
"out/2023/2023-687930_20251111_152144.json",1
"out/2023/2023-685299_20251111_114119.json",2
"out/2023/2023-684486_20251118_161413.json",3
"out/2023/2023-683744_20251118_140733.json",3
"out/2023/2023-678819_20251116_205342.json",3
"out/2023/2023-687636_20251119_014800.json",3
"out/2023/2023-681884_20251117_131544.json",3
"out/2023/2023-687158_20251119_000915.json",3
"out/2023/2023-681104_20251111_053254.json",1
"out/2023/2023-679711_20251110_140122.json",1
"out/2023/2023-686730_20251118_225605.json",3
"out/2023/2023-683067_20251118_122951.json",2
"out/2023/2023-680492_20251111_044340.json",1
"out/2023/2023-678506_20251116_181818.json",3
"out/2023/2023-686640_20251118_224340.json",2
"out/2023/2023-678466_20251116_175746.json",3
"out/2023/2023-678015_20251116_143323.json",2
"out/2023/2023-681560_20251117_121917.json",2
"out/2023/2023-683881_20251118_143621.json",3
"out/2023/2023-677996_20251116_142304.json",3
"out/2023/2023-685660_20251118_193640.json",3
"out/2023/2023-683967_20251111_094142.json",1
"out/2023/2023-687921_20251111_152124.json",1
"out/2023/2023-677934_20251116_134338.json",3
"out/2023/2023-684357_20251111_101844.json",1
"out/2023/2023-683561_20251111_090709.json",1
"out/2023/2023-683609_20251111_091014.json",1
"out/2023/2023-685251_20251116_084132.json",4
"out/2023/2023-684478_20251118_161504.json",2
"out/all_cuyahoga_eval_charge_mismatch_fuzzy_v2.csv.bak.20260216160833",146
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251115_125347.json",2
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251226_164149.json",2
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251115_122043.json",3
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-681994_20251110_162929.json",1
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251226_130409.json",2
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251115_121024.json",2
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251116_054025.json",3
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251117_103402.json",2
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-681994_20251117_133202.json",2
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-682534_20251117_150524.json",3
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251117_103001.json",3
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251226_130005.json",2
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-682552_20251111_073710.json",2
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251226_130126.json",2
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251226_130532.json",2
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251116_021410.json",3
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251128_091158.json",3
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251116_053913.json",3
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251117_103207.json",3
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251116_204241.json",3
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251115_121405.json",3
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684948_20251116_080826.json",3
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251226_172438.json",2
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251226_172751.json",2
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251226_130248.json",2
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-682760_20251111_075049.json",1
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-677931_20251110_172902.json",2
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251116_053214.json",3
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251219_053849.json",2
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2024/2024-690218_20251119_092510.json",3
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-704731_20251121_075959.json",3
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-702078_20251120_232201.json",3
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-706007_20251112_104448.json",2
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-701853_20251120_222619.json",2
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-698606_20251120_073535.json",3
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-703487_20251121_033323.json",3
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-702000_20251112_071419.json",1
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-704537_20251121_071533.json",2
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-702078_20251120_232428.json",3
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-705177_20251112_094009.json",1
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-706089_20251115_075926.json",2
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-705193_20251121_094521.json",1
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-704537_20251121_071037.json",2
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-706007_20251115_083055.json",3
"out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-702560_20251121_004700.json",11
"out/obstructing_cases/out/2023/2023-683014_20251111_081546.json",1
"out/obstructing_cases/out/2023/2023-683733_20251112_170542.json",1
"out/obstructing_cases/out/2023/2023-683736_20251111_091829.json",1
"out/obstructing_cases/out/2023/2023-682033_20251111_065500.json",1
"out/obstructing_cases/out/2023/2023-686081_20251111_124432.json",1
"out/obstructing_cases/out/2023/2023-677931_20251116_134121.json",3
"out/obstructing_cases/out/2023/2023-682552_20251117_151523.json",6
"out/obstructing_cases/out/2023/2023-684948_20251118_172501.json",3
"out/obstructing_cases/out/2023/2023-684826_20251227_041831.json",2
"out/obstructing_cases/out/2023/2023-679332_20251110_193131.json",1
"out/obstructing_cases/out/2023/2023-684826_20260101_124157.json",2
"out/obstructing_cases/out/2023/2023-686697_20251111_134038.json",1
"out/obstructing_cases/out/2023/2023-686341_20251111_130701.json",2
