Prosecutor Name,Number of Cases,Guilty,Not Guilty,Dismissed,Other,Conviction Rate
ALAINA HAGANS,14,96,0,49,49,49.48%
Cuyahoga County Prosecutor,7474,1948,5,4226,14932,9.23%
CARLEY BERMAN,105,129,0,123,180,29.86%
BRITTANY STIPICH,47,58,0,66,70,29.90%
MICHAEL MARTINEZ,26,48,0,48,40,35.29%
AYOUB DAKDOUK,36,49,0,53,74,27.84%
CHRISTOPHER WOODWORTH,58,83,0,98,78,32.05%
DIANA NASSAR,17,21,0,15,27,33.33%
MARGARET GRAHAM,46,59,0,76,91,26.11%
BEN FUCHS,39,50,0,30,73,32.68%
KRYSTAL LEE,35,52,0,37,69,32.91%
DANIEL SCHREMBECK FOR JACK DOWLING,2,1,0,2,3,16.67%
JACK DOWLING,31,57,2,41,44,39.58%
GREGORY M,7,17,2,42,15,22.37%
CARL FELICE,47,77,0,84,100,29.50%
MALLORY BUELOW,35,48,0,65,48,29.81%
OMAR SIDDIQ,27,41,0,32,50,33.33%
PATRICK WHITE FOR ANJALIKANWAR,1,3,0,5,1,33.33%
KENAN MACK,48,77,0,94,61,33.19%
ERICA SAMMON,80,105,2,95,144,30.35%
CHRISTOPHER WOODWARD,1,1,0,4,1,16.67%
BRAD MEYER AND ANDREW BOYKO,2,0,0,6,4,0.00%
MAKENNA DAUS,57,69,1,65,131,25.94%
MICHAEL TIMMS,43,66,3,60,63,34.38%
MASON MCCARTHY,142,148,0,114,289,26.86%
COURTNEY KIRVEN,35,54,0,79,71,26.47%
ANDREA ISABELLA,60,83,0,110,123,26.27%
MICHAEL STECHSCHULTE FOR KENAN MACK,1,2,0,1,1,50.00%
JONATHAN W SAULINE,39,64,0,60,48,37.21%
FALLON MCNALLY,15,16,0,19,21,28.57%
LIAM BLAKE,85,114,1,102,127,33.14%
HYOJONG LEE,38,59,1,55,60,33.71%
KAREN GREENE,17,27,0,44,39,24.55%
DANIEL SCHREMBECK,16,36,0,35,26,37.11%
JOE LUCHESI,3,4,0,7,6,23.53%
ANDREW NICHOL,3,6,0,9,7,27.27%
JOSEPH P O'MALLEY,44,49,0,55,102,23.79%
ANJALI KANWAR,58,75,1,69,111,29.30%
SEAN DRAKE,96,117,0,131,161,28.61%
BRAD MEYER,5,4,0,2,33,10.26%
KEVIN FILIATRAUT AND CARLEY BERMAN,1,3,3,0,1,42.86%
LUKE HABERMEHL,83,95,0,108,120,29.41%
LISA M,4,4,0,0,4,50.00%
MARCO TANUDRA,50,77,0,56,69,38.12%
ZAC ANDERSON,2,5,0,4,3,41.67%
MORGAN AUSTIN,49,67,0,88,86,27.80%
PATRICK WHITE,88,125,0,169,151,28.09%
JOSE TORRES,46,75,0,35,119,32.75%
DOMINIC NEVILLE,119,151,5,177,240,26.35%
GRAHAM,2,3,0,2,4,33.33%
CHAUNCEY KELLER,9,13,0,10,16,33.33%
CHRISTINE VACHA,8,24,0,32,18,32.43%
BRIAN CALLAHAN,61,85,1,112,90,29.51%
CHRIS WOODWORTH,10,15,0,4,16,42.86%
HALIE TURIGLIATTI,67,95,0,112,111,29.87%
MARYANN ZAKY,93,119,1,116,143,31.40%
NORA C BRYAN,10,19,0,33,26,24.36%
KEVIN FILIATRAUT,4,8,1,6,16,25.81%
BRITTANY FLETCHER,70,86,0,90,89,32.45%
BENJAMIN FUCHS,83,112,1,115,155,29.24%
JOHN T DOWLING,20,27,0,31,33,29.67%
OWEN KNAPP,2,4,0,2,2,50.00%
THOMAS ROVITO,27,40,0,32,35,37.38%
AMANDA BIZUB,3,3,0,12,3,16.67%
TUROSO,2,2,0,0,2,50.00%
MARTIN DIMICHELE FOR MCKENNA DAUS,1,2,0,0,3,40.00%
CONNOR DAVIN,36,88,2,80,51,39.82%
DANIELLE V MUSTER,52,73,0,84,76,31.33%
JONATHAN BLOCK FOR HYOJONG LEE,1,1,0,1,2,25.00%
JASMINE JACKSON,28,49,0,49,45,34.27%
JORDAN MASON,109,134,0,123,207,28.88%
JOSEPH LUCCHESI,71,95,0,84,115,32.31%
ALEXANDRIA SERDARU,69,108,2,103,116,32.83%
CARLA NEUHAUSER,85,120,0,155,157,27.78%
HANNAH BAKER,51,77,0,77,76,33.48%
DANIELLE MUSTER FOR JORDAN MASON,4,11,0,16,6,33.33%
KYLE DILLON FOR CHAUNCEY KELLER,1,1,0,0,1,50.00%
LISA J TUROSO,23,46,0,51,41,33.33%
JONATHAN J BLOCK,42,56,0,52,60,33.33%
ELISSA HOPSON,26,22,0,27,87,16.18%
JILLIAN PITEO,10,16,0,23,14,30.19%
BEN FUCHS FOR MICHAEL STECHSHULTE,1,0,0,0,4,0.00%
MAALAEA NEWELL,49,69,0,94,81,28.28%
ALEXANDRIA SERDARU AND DANIELLE MUSTER,2,1,0,2,4,14.29%
OWEN M PATTON,11,17,0,31,13,27.87%
ANDREW BOYKO FOR CARLA NEUHAUSER,2,3,0,3,2,37.50%
EAMONN MCDERMOTT,20,27,0,28,24,34.18%
ZACH ANDERSON,6,6,0,6,7,31.58%
PATRICK WHITE FOR ANJALI KANWAR,1,1,0,0,1,50.00%
ZACHARY ANDERSON,8,11,0,23,8,26.19%
STEPHEN VERNIA,13,29,0,40,16,34.12%
STEVEN SZELAGIEWICZ,15,15,0,69,50,11.19%
GABE RASTATTER,7,8,0,2,11,38.10%
NATALIE LASZCZ FOR BRITTANY FLETCHER,2,2,0,2,3,28.57%
SAMANTHA SOHL FOR MARCO TANUDRA,1,1,0,0,1,50.00%
MARGARET GRAHAM FOR CARL FELICE,1,1,0,1,1,33.33%
CHRISTOPHER WOODWORTH AND GLEN RAMDHAN,1,3,1,1,1,50.00%
LISA MAHNIC,49,77,0,40,56,44.51%
MICHAEL STECHSHULTE,11,18,0,26,16,30.00%
MIKE MARTINEZ,4,5,0,4,4,38.46%
MICHAEL J STECHSCHULTE,59,100,0,134,102,29.76%
PATRICK LAVELLE,4,6,0,11,9,23.08%
KYLE DILLON,37,57,0,69,50,32.39%
ELLE ENGLISH,92,129,0,111,138,34.13%
TERESE MCKENNA,46,51,0,34,56,36.17%
ANNA FARAGLIA,4,3,0,32,6,7.32%
DANIELLE MUSTER,49,71,0,65,88,31.70%
CHRISTINE VACHA AND CONNOR DAVIN,1,4,0,1,1,66.67%
MARTIN DIMICHELE,12,17,0,8,25,34.00%
AYOUB DAKDOUK FOR LUKE HABERMEHL,2,3,0,0,4,42.86%
KRYSTAL LEE AND MARCO TANUDRA,1,0,0,0,3,0.00%
ALYSSA WAITE,81,86,0,87,205,22.75%
KEVIN DAY,2,0,0,2,5,0.00%
DANEL SCHREMBECK,1,0,0,0,6,0.00%
SASHA BROOKS,2,3,0,3,4,30.00%
PATRICK WHITE FOR BRIAN CALLAHAN,2,0,0,4,4,0.00%
MARY ANN ZAKY FOR MALLORY BUELOW,1,3,0,2,2,42.86%
HALEY TURIGLIATTI,1,3,0,5,1,33.33%
MASON MCCARTHY FOR CARSON STRANG,1,5,0,13,2,25.00%
STEPHEN R VERNIA,59,94,0,87,93,34.31%
DANIELLE MUSTER FOR DIANNA NASSAR,1,1,0,0,1,50.00%
DANIELLE V,12,14,0,19,17,28.00%
MARY GRACE TOKMENKO,14,20,0,43,29,21.74%
MICHAEL STECHSCHULTE,26,39,0,48,37,31.45%
MIKAYLA ORTIZ,65,83,0,80,103,31.20%
RYAN J BOKOCH,4,1,0,3,10,7.14%
BRITANY STIPICH,1,0,0,5,1,0.00%
GREGG PAUL FOR PATRICK WHITE,1,3,0,5,1,33.33%
ANDREW F,3,4,0,3,4,36.36%
TIMOTHY TROUP,7,13,0,34,9,23.21%
STIPICH,9,11,0,13,15,28.21%
ALICIA PAOLUCCI,8,15,0,40,12,22.39%
MICHAEL MARTINEZ FOR SEAN DRAKE,1,0,0,0,2,0.00%
MEGAN HELTON,14,45,4,22,21,48.91%
BEN FUCHS FOR BRITTANY FLETCHER,1,1,0,1,1,33.33%
MARY GRACE TOKMENKO FOR CONNOR DAVIN,1,0,0,1,1,0.00%
NATALIE LASZCZ,5,14,0,13,6,42.42%
CARL MAZZONE,4,5,0,8,15,17.86%
MARY ANN ZAKY,21,32,0,27,37,33.33%
LINDSEY RASKIN,1,2,0,1,2,40.00%
CARLA NEUHAUSSER,1,2,0,6,1,22.22%
MASON MCCARTHY FOR KYLE DILLON,1,1,0,0,1,50.00%
OMAR SIDDIQ FOR JOSEPH LUCCHESI,1,2,0,0,1,66.67%
JON BLOCK,3,2,0,4,4,20.00%
ALEXANDRIA SERDARU FOR DIANA NASSAR,1,2,0,0,3,40.00%
KEVIN BRINGMAN,2,1,0,11,3,6.67%
CARLEY BERMAN FOR DANIELLE V,1,2,0,0,1,66.67%
LINDSAY PATTON,5,7,0,27,14,14.58%
MARCO TANUNDRA,2,2,0,8,3,15.38%
ANDREA N ISABELLA,2,8,0,7,2,47.06%
COURTNEY M KIRVEN,41,49,0,51,70,28.82%
ALLIE SERDARU FOR JOSE TORRES,1,2,0,0,1,66.67%
MARGARET GRAHAM FOR ANDREW BOYKO,2,2,0,1,2,40.00%
JOHN T,6,4,0,10,11,16.00%
KEVIN R DAY,3,3,0,4,4,27.27%
SARAH J DENNEY AND MICHAEL TIMMS,1,0,0,0,5,0.00%
BEN FUCHS FOR SEAN DRAKE,1,1,0,1,1,33.33%
BRIAN SULLIVAN,3,3,0,0,4,42.86%
JONATHAN BLOCK,17,23,0,23,22,33.82%
KYLE DILLON FOR COURTNEY KIRVEN,2,1,0,1,3,20.00%
DIANA G,8,10,0,25,14,20.41%
JOHN HIRSCHAUER,3,5,0,1,3,55.56%
BROOKS,2,3,0,0,3,50.00%
HANNAH BAKER FOR ELLE ENGLISH,1,0,0,0,2,0.00%
BRITTNEY FLETCHER,1,1,0,0,1,50.00%
FLETCHER,2,3,0,2,4,33.33%
JAMIELLE M LAMSON,12,16,0,19,34,23.19%
EBEN MCNAIR,1,0,0,1,2,0.00%
DANIELLE V MUSTER AND JOSE TORRES,1,3,0,0,1,75.00%
JAMES MAY,5,9,0,12,5,34.62%
CHRIS WOODWORTH FOR PATRICK WHITE,1,3,0,0,2,60.00%
PATRICK WHITE FOR JORDAN MASON,1,1,0,2,1,25.00%
KRISTIN M,8,18,2,18,24,29.03%
EBAN MCNAIR,1,2,0,4,2,25.00%
MALLORY PARKER,28,41,0,36,58,30.37%
JAMES FLANAGAN,42,59,1,72,63,30.26%
JAMES GALLAGHER,6,5,0,4,9,27.78%
DANIEL T SCHREMBECK,36,41,3,60,70,23.56%
CHRIS WOODSWORTH,1,1,0,0,1,50.00%
CARLEY BERMAN FOR BENJAMIN FUCHS,1,1,0,1,1,33.33%
LIAM BLAKE FOR FALLON MCNALLY,2,3,0,2,2,42.86%
OWEN PATTON,51,69,0,56,83,33.17%
STIPICH FOR MASON,1,2,0,2,1,40.00%
ANDREW BOYKO,15,31,0,19,32,37.80%
KYLE DILLON FOR KAREN GREENE,1,0,0,1,1,0.00%
JOHN DOWLING,27,38,0,25,38,37.62%
KERRY SOWUL,9,16,1,36,12,24.62%
KENAN MACK FOR CHRISTOPHER WOODWORTH,1,1,0,0,1,50.00%
JOSEPH LUCCHESI AND TOM ROVITO,1,2,0,1,1,50.00%
BRITTANY FLETCHER FOR LINDSAY PATTON,1,1,0,1,1,33.33%
CEDRIC WARE,7,6,0,5,13,25.00%
DANIELLE V MUSTER AND MEGAN HELTON,2,3,0,3,2,37.50%
DANIELLE MUSTER FOR LUKE HABERMEHL,1,0,0,4,1,0.00%
MELISSA A,12,42,0,25,31,42.86%
BENJAMIN FUCHS AND BRITTANY FLETCHER,1,0,0,14,1,0.00%
JOSEPH LUCCHESI FOR CARLA NEUHAUSER,3,3,0,0,4,42.86%
DANIEL CLEARY,3,4,0,4,3,36.36%
ALLY SERDARU FOR BRITTANY N STIPICH,1,2,0,3,2,28.57%
JONATHAN SAULINE,10,11,0,7,13,35.48%
JON SAULINE FOR MALLORY BUELOW,1,2,0,0,1,66.67%
ROCCO VERNIA,16,26,0,24,20,37.14%
FLANAGAN,1,1,0,2,1,25.00%
OMAR SEDIQ,3,2,0,6,5,15.38%
TOM ROVITO,4,7,0,6,4,41.18%
BRITTANY N STIPICH,65,81,2,139,101,25.08%
MARCO TANDURA,1,2,0,0,1,66.67%
ALLIE SERDARU FOR JONATHAN W SAULINE,1,0,0,0,6,0.00%
EBEN MC NAIR,3,3,0,13,21,8.11%
HALIE TURIGLIOTTI,5,8,0,5,7,40.00%
BRANDON PITEO,6,14,0,7,14,40.00%
OWEN PATTON FOR ZACK LEFLEUR,1,1,0,0,3,25.00%
KAREN GREEN FOR ADRIENNE LINNICK,2,5,0,2,2,55.56%
JILLIAN PITEO AND MAALAEA NEWELL,2,2,0,2,2,33.33%
LIAM BLAKE FOR DOMINIC NEVILLE,1,4,0,6,1,36.36%
DIANA NASSAR FOR KYLE DILLON,2,4,0,2,2,50.00%
ALEXANDRIA SERDARU FOR JOSEPH LUCCHESI,1,1,0,1,1,33.33%
FALLON RADIGAN,4,30,0,26,6,48.39%
ERICA SAMMON FOR STEVE VERNIA,1,4,0,5,1,40.00%
BRITTANYS STIPICH,3,4,0,2,3,44.44%
LORRAINE DUBOSE,1,0,0,5,1,0.00%
JACOB WILLIAMS,6,9,0,4,8,42.86%
GRANT A,39,47,0,69,75,24.61%
ALLIE SERDARU,10,7,0,17,18,16.67%
MICHAEL STECHSHULTE FOR EAMONN MCDERMOTT,1,1,0,1,1,33.33%
DAN SCHREMBECK,24,37,0,48,40,29.60%
MAGGIE GRAHAM,6,7,0,6,21,20.59%
JASMINE JACKSON FOR MIKE TIMMS,1,1,0,0,1,50.00%
LIAM BLAKE FOR BRITTANY FLETCHER,1,1,0,0,2,33.33%
LISAH MAHNIC,1,1,0,0,1,50.00%
BRITTANY N STIPICH FOR MELISSA A,1,15,0,15,2,46.88%
ERIC COLLINS,6,8,0,22,10,20.00%
STEVE VERNIA,2,2,0,0,4,33.33%
GLEN RAMDHAN,5,3,0,12,5,15.00%
SAMMIE SOHL FOR ELLE ENGLISH,1,2,0,0,2,50.00%
MARYANN ZAKY FOR MARCO TANUDRA,1,2,0,1,1,50.00%
DAVIN FOR STIPICH,1,2,0,0,2,50.00%
DANIEL CLEARY AND,1,2,0,0,3,40.00%
LEE FOR STIPICH,1,1,0,3,1,20.00%
SARAH DENNEY AND KRYSTAL LEE,1,2,0,4,2,25.00%
NEUHAUSER FORGABE RASTATTER,1,1,0,0,2,33.33%
ANJALI KANWAR AND CHRISTOPHER WOODWORTH,1,5,0,0,1,83.33%
BRITTANY STIPICH FOR JONATHAN J BLOCK,1,1,0,0,2,33.33%
MALLORY BEULOW,3,5,0,3,5,38.46%
DAN SCHREMBECK FOR MAALAEA NEWELL,1,1,0,2,1,25.00%
MCKENNA DAUS,5,6,0,3,9,33.33%
MCNALLY,3,3,0,0,4,42.86%
CARSON STRANG,10,13,2,27,22,20.31%
MARY GRACE TOKMENKO FOR LIAM BLAKE,1,2,0,1,1,50.00%
MARTINEZ,5,12,0,5,6,52.17%
CHLOE ROBINSON,62,80,1,69,108,31.01%
DEBORA BREWER,1,2,0,3,1,33.33%
MICHAEL A LISK,5,6,0,17,6,20.69%
JOE LUCCHESI FOR MAALAEA NEWELL,1,2,0,2,1,40.00%
BRITTANY FLETCHER FOR MICHAEL STETCHSCHULTE,1,1,0,0,1,50.00%
ANDREW NICHOL FOR JORDAN MASON,1,3,0,0,1,75.00%
MELISSA RILEY,11,72,0,38,34,50.00%
NORA BRYAN,6,13,0,16,21,26.00%
HANNA BAKER FOR SEAN DRAKE,1,1,0,1,2,25.00%
JAKE WILLIAMS,2,2,0,3,4,22.22%
LISA J,1,1,0,0,4,20.00%
MICHAEL A LISK AND ABE DAKDOUK,1,0,0,0,5,0.00%
ZACH ANDERSON FOR JASMINE JACKSON,1,2,0,1,1,50.00%
JOHN SAULINE FOR MALLORY BUELOW,1,1,0,1,1,33.33%
CONNOR DAVIN FOR MICHAEL STECHSHULTE,2,5,0,2,2,55.56%
JONTHAN BLOCK,1,1,0,0,1,50.00%
NEUHAUSER,2,5,0,3,4,41.67%
YASMINE HASAN,2,4,0,13,2,21.05%
JOE LUCCHESI,26,37,0,42,41,30.83%
JACK DOWLING FOR MAALAEA NEWELL,1,1,0,1,2,25.00%
CARRIE SOWUL FOR ANDREA ISABELLA,1,4,0,10,3,23.53%
JORDAN MASON FOR KRYSTAL LEE,2,3,0,3,3,33.33%
JOSEPH LUCHESSI,2,2,0,0,4,33.33%
JOHN SAULINE,8,10,0,11,15,27.78%
MARK A VENEZIA,25,35,0,22,55,31.25%
JACK DOWLING FOR BRIAN CALLAHAN,1,1,0,0,2,33.33%
ADRIENNE E,6,2,0,5,34,4.88%
JOSHUA J,21,29,0,24,42,30.53%
STEPHEN R VERNIA FOR JOHN T,1,0,0,2,2,0.00%
LUCAS KIRKLAND FOR CHLOE ROBINSON,2,4,0,1,2,57.14%
CHRIS WOODWORTH FOR MALLORY BUELOW,1,3,0,0,1,75.00%
HANNA BAKER AND MICHAEL TIMS FOR JASMINE JACKSON,1,0,0,4,1,0.00%
JORDAN MASON FOR FALLON MCNALLY,1,1,0,0,1,50.00%
BOYKO FOR GRAHAM,1,1,0,0,1,50.00%
LUKE HABERMEHL FOR CARLEY BERMAN,1,3,0,2,2,42.86%
PARICK WHITE,1,3,0,2,1,50.00%
JOHN F HIRSCHAUER,2,1,0,0,4,20.00%
JAZMIN JACKSON,1,1,0,0,2,33.33%
MORGAN AUNSTIN ON FALLON MCNALLY,1,2,0,2,1,40.00%
MAKENNA DAUS FOR STEVE VERNIA,1,1,0,1,1,33.33%
KRISTIN KARKUTT,2,0,0,4,22,0.00%
ELLE ENGLISH FOR JONATHAN SAULINE,1,1,0,0,1,50.00%
CARLEY BERMAN FOR DANIELLE V MUSTER,2,2,0,5,2,22.22%
CONNER DAVIN,4,7,0,6,7,35.00%
MARCO TANUNDRA FOR MARYANN ZAKY,1,0,0,3,1,0.00%
CARLEY BERMAN FOR OMAR SIDDIQ,1,1,0,0,1,50.00%
BRITTANY FLETCHER FOR,2,2,0,3,2,28.57%
COURTNEY KIRVAN,1,1,0,1,2,25.00%
JOHN KIRKLAND AND MORGAN AUSTIN,1,3,0,3,2,37.50%
DANIELLE V MUSTER AND ALEXANDRIA SERDARU,1,2,0,2,1,40.00%
JON SAULINE,4,9,0,10,4,39.13%
