Prosecutor Name,Number of Cases,Guilty,Not Guilty,Dismissed,Other,Conviction Rate
JOSHUA MASON FOR SEAN DRAKE,3,4,0,1,3,50.00%
TIMOTHY TROUP FOR ZACHARY LAFLEUR,1,1,0,0,1,50.00%
CHRISTOPHR WOODWORTH,1,2,0,1,1,50.00%
DANIELLE V MUSTER AND CARLA NEUHAUSER,1,5,0,4,1,50.00%
JAMIELLE LAMSON,2,2,0,3,4,22.22%
DAN SCHREMBECK FOR CARLA NEUHAUSER,1,1,0,0,1,50.00%
TOM ROVITO FOR JORDAN MASON,1,1,0,0,2,33.33%
JOHN SAULINE FOR ALYSSA WAITE,1,2,0,0,1,66.67%
MAALAEA NEWELL FOR MASON MCCARTHY,1,1,0,3,1,20.00%
ERICA SAMMON FOR ALEX VENEZIA,2,5,0,8,3,31.25%
TIMOTHY TROUP AND BRITTANY STIPICH,1,5,0,7,1,38.46%
OWEN PATTON FOR COURTNEY KIRVEN,1,1,0,1,2,25.00%
ELISSA THOMPSON,1,1,0,0,1,50.00%
JOSHUA MASON FOR ELISSA HOPSON,3,2,0,1,7,20.00%
JOHN BLOCK FOR ALYSSA WAITE,1,3,0,2,1,50.00%
DAVID MEREDITH FOR CHLOE ROBINSON,1,3,0,2,2,42.86%
DAN SCHREMBECK FOR ROCCO VERNIA,1,1,0,2,1,25.00%
CHARLIE JOYCE,10,11,0,11,21,25.58%
MASON MCARTHY,1,0,0,0,3,0.00%
ERICA SAMMON FOR JAMES FLANAGAN,1,2,0,3,1,33.33%
LIAM BLAKE FOR ANJALI KANWAR,1,1,0,0,2,33.33%
DAN CLEARY,1,3,0,0,1,75.00%
PATRICK WHITE FORBRANDON PITEO,1,3,0,3,2,37.50%
KRYSTAL LEE OBO STEVE VERNIA,1,1,0,1,1,33.33%
DAN CLEARY AND BRITTANY STIPICH,2,2,0,11,3,12.50%
VERNIA,1,1,0,1,1,33.33%
MIKAYLA ORTIZ FOR BRITTAN YFLETCHER,1,1,0,0,3,25.00%
ZACHARY LAFLEUR AND MAKENNA DAUS,1,0,0,0,6,0.00%
MARTY DIMICHELLE,2,2,0,3,4,22.22%
BEN FUCHS FOR ANDREA ISABELLA,1,1,0,1,1,33.33%
GRANT MORGAN FOR ELISSA HOPSON,1,1,0,2,1,25.00%
BEN FUCHS FOR HANNAH BAKER,1,1,0,0,2,33.33%
THOMAS ROVITO FOR DANIELLE V MUSTER,1,0,0,0,4,0.00%
ERIN M STONE,1,0,0,0,5,0.00%
MALAYAA NEWELL FOR KYLE DILLON,1,0,0,4,1,0.00%
MARTIN DI MICHELE,2,3,0,3,2,37.50%
STEPHEN VERNIA FOR ANJI KANWAR,2,2,0,0,3,40.00%
KRYSTAL LEE FOR BRITANY FLETCHER,1,1,0,0,1,50.00%
OMAR SIDDIQ AND MICHAEL TIMMS,2,0,0,10,2,0.00%
KYLE DILLON FOR ROCCO VERNIA,1,0,0,3,1,0.00%
SARAH J DENNEY,1,0,0,0,13,0.00%
THOMAS ROVITO FOR KENAN MACK,1,0,0,3,1,0.00%
BRAD MEYER FOR BRITTANY STIPICH,1,1,0,0,1,50.00%
JOHN SAULINE FOR LIAM BLAKE,1,4,0,3,2,44.44%
BRITTANY STIPICH FOR SEAN DRAKE,3,1,0,6,4,9.09%
MIKE STECHSCHULTE,1,2,0,0,1,66.67%
CHRISTOPHER WOODWARD FOR COURTNEY KIRVEN,1,0,0,2,1,0.00%
NORA BRYAN AND BRITTANY STIPICH,1,0,0,0,13,0.00%
BART FLANAGAN FOR SEAN DRAKE,1,0,0,5,1,0.00%
DANIEL T SCHREMBECK FOR PAT LIPAJ,1,1,0,0,2,33.33%
ALEC BASHEIN FOR ELISSA HOPSON,1,1,0,0,1,50.00%
DOMINIC NEVILLE FOR LAUREN MEYER,1,1,0,1,2,25.00%
PATRICK WHITE FOR SEAN DRAKE,1,2,0,2,1,40.00%
ROCO VERNIA,3,2,0,1,7,20.00%
DAN SCHREMBECK AND BRITTANY STIPICH,1,1,0,1,1,33.33%
ALEX VENETZIA,1,0,0,0,4,0.00%
ALEC BASHIEN FOR SEAN DRAKE,1,0,0,1,2,0.00%
NICK FINK,3,4,0,1,6,36.36%
LUKE HABERMEHL AND LAUREN MEYER,1,0,0,0,3,0.00%
OWEN M,4,4,0,3,4,36.36%
ALEC BASHIEN,2,3,0,1,2,50.00%
VENEZIA FOR BLAKE,1,1,0,0,1,50.00%
JEFF SCHNATTER,1,0,0,0,6,0.00%
COURTNEY KIRVIN,1,1,0,0,2,33.33%
ANDREW SZCZEPANIK FOR DOMINIC NEVILLE,1,0,0,0,3,0.00%
ALLIE SEDARU,4,5,0,3,15,21.74%
HALIE TURIGLIATTI FOR MAKENNA DAUS,2,6,0,2,2,60.00%
MASON MCCARTHY FOR PATRICK J,1,3,0,13,1,17.65%
ANJILI KANWAR,1,1,0,1,2,25.00%
PAT LAPIJ,1,0,0,0,7,0.00%
ALEC W BASHEIN,13,16,0,20,25,26.23%
GRANT MORGAN FOR KYRIELLE WILLIAMS,1,1,0,1,1,33.33%
JORDAN MASON FOR CARLEY BERMAN,1,2,0,1,1,50.00%
LUKE HABERMEHL FOR ALYSSA WAITE,2,0,0,0,6,0.00%
MARTIN A DIMICHELE FOR ANJALI KANWAR,1,3,0,3,1,42.86%
NORA C,1,1,0,4,1,16.67%
MASON MCCARTHY FOR BRITTANY N STIPICH,1,1,0,0,1,50.00%
ELEANOR WERNER,5,1,0,0,18,5.26%
MARTIN DIMICHELE LUCAS KIRKLAND,1,1,0,6,2,11.11%
ZACK LAFLEUR FOR OWEN PATTON,1,1,0,1,1,33.33%
SALEH AWADALLAH,1,2,0,0,1,66.67%
ANJI KANWAR FOR BLAKE,1,2,0,0,2,50.00%
ANJALI KANWAR FOR CHLOE ROBINSON,3,4,0,0,4,50.00%
BART FLANAGAN FOR ELISSA HOPSON,1,1,0,0,1,50.00%
LISA TUROSO FOR KYRIELLE WILLIAMS,1,1,0,0,3,25.00%
DOMINIC NEVILLE FOR GRANT A,1,1,0,1,2,25.00%
MARTY DIMICHELE,7,8,0,7,12,29.63%
NICK FINK FOR CARLEY BERMAN,2,4,0,6,2,33.33%
PATRICK WHITE FOR DANIELLE MUSTER,1,1,0,2,1,25.00%
CHLOE ROBINSON FOR LUKE KIRKLAND,1,0,0,0,7,0.00%
ALEX VENEZUA,1,1,0,0,1,50.00%
GLEN RAMDHAN FOR ALAINA HAGANS,1,6,0,3,1,60.00%
GREGG PAUL AND NORA BRYAN,1,0,0,1,1,0.00%
BART FLANAGAN FOR PATRICK WHITE,1,1,0,1,1,33.33%
ALAINA HAGGANS,2,0,0,0,11,0.00%
ANNA FARAGLIA AND DANIELLE MUSTER,1,4,0,2,1,57.14%
HALIE TURIGLIATTI AND COURTNEY KIRVEN,1,4,0,3,2,44.44%
STEPHEN ROCCO VERNIA,1,1,0,0,3,25.00%
MARY GRACE TOKMENKO FOR,1,3,0,4,1,37.50%
ANDREW SZCZUPANCIC,1,2,0,1,1,50.00%
JORDAN MASON FOR DANIELLE MUSTER,1,1,0,0,1,50.00%
DOMINIC NEVILLE FOR KYRIELLE WILLIAMS,1,0,0,0,4,0.00%
DANIEL T SCHREMBECK FOR BRITTANY STIPICH,1,2,0,1,1,50.00%
ALEC BASHIEN DAVID MEREDITH,1,1,0,2,3,16.67%
LISA J TUROSO AND KAREN GREENE,1,0,0,0,11,0.00%
DAVE MEREDITH,3,3,0,4,13,15.00%
ANDREW ZUPANCIC FOR ALEXANDRIA SERDARU,2,2,0,2,2,33.33%
LAUREN MEYER FOR DOMINIC NEVILLE,2,3,0,2,4,33.33%
LAUREN MEYER FOR JOSHUA J,3,17,0,13,3,51.52%
MICHAEL STECHSCHULTE FOR HANNAH BAKER,1,3,0,4,1,37.50%
KENAN MACK FOR KRYSTAL LEE,1,3,0,3,1,42.86%
JOSHUA MASON FOR BRITTANY STIPICH,1,1,0,0,1,50.00%
DANIELLE MUSTER FOR PATRICK WHITE,2,2,0,1,2,40.00%
HANNA BAKER,6,5,0,5,13,21.74%
ANDREW SZCZEPANIK AND DOMINIC NEVILLE,1,2,0,2,1,40.00%
ALYSSA WAITE FOR KYRIELLE WILLIAMS,1,2,0,0,1,66.67%
ALYSSA WAITE FOR,1,3,0,0,1,75.00%
ELISSA HOPSON FOR BRITTANY STIPICH,1,1,0,0,1,50.00%
LIAM BLAKE FOR MARTY DIMICHELE,1,1,0,0,3,25.00%
LUKE KIRLAND FOR LIAM BLAKE,1,1,0,1,1,33.33%
AKEX VENEZIA,1,2,0,0,1,66.67%
DOMINIC NEVILLE FOR ANDREW SZCZEPANIK,1,1,0,0,2,33.33%
MARTIN A DIMICHELE FOR LIAM BLAKE,1,2,0,1,1,50.00%
ZACH LAFLEUR,4,4,0,1,11,25.00%
JOE LUCCHESI FOR MICHAEL STECHSCHULTE,1,2,0,3,1,33.33%
SEAN DRAKE FOR ELISSA L,1,1,0,1,1,33.33%
HAILEY TURIGLIATTI FOR MCKENNA DAUS,1,6,0,4,1,54.55%
ZACK LAFLEUR,2,3,0,3,2,37.50%
ANDREW BOYKO AND JOSHUA J,1,0,0,0,4,0.00%
ANJI KNWAR,1,2,0,1,2,40.00%
JOSHUA MASON FOR CHLOE ROBINSON,1,1,0,0,2,33.33%
MAHMOUD S,1,3,0,2,2,42.86%
JEFFREY SCHNATTER,1,2,0,2,1,40.00%
LAUREN MEYER FOR KYRIELLE WILLIAMS,1,1,0,2,2,20.00%
ZACHARY LEFLEUR,2,2,0,1,2,40.00%
GRANT MORGAN FOR DOMINIC NEVILLE,2,3,0,7,2,25.00%
DANIELLE MUSTER OBO ALLIE SEDARU,1,1,0,1,1,33.33%
LIAM BLAKE FOR CHLOE ROBINSON,1,3,0,0,1,75.00%
JOSH MASON FOR ANJI KANWAR,1,3,0,10,2,20.00%
NCHOLAS FINK,1,1,0,2,1,25.00%
KRYSTAL LEE OBO COURTNEY KIRVEN,1,1,0,2,1,25.00%
KERRY SOWUL FOR,1,4,0,4,1,44.44%
HALIE TURIGLIATTI FOR ZACK LAFLEUR,1,2,0,1,2,40.00%
ANDREW SZCZEPANIC,1,1,0,0,1,50.00%
CARLEY BERMAN FOR THOMAS ROVITO,1,2,0,0,1,66.67%
JORDAN MASON FOR ERICA SAMMON,1,0,0,3,2,0.00%
STEVEN SZELAGIEWICZ AND JILLIAN PITEO,1,0,0,0,6,0.00%
CONNOR DAVIN FOR CHLOE ROBINSON,2,4,0,4,5,30.77%
HALIE TURIGLIATTI FOR ZACK LEFLEUR,1,1,0,1,1,33.33%
MARK A,3,3,0,4,6,23.08%
DANIELLE MUSTER FOR COURTNEY M KIRVEN,1,1,0,2,2,20.00%
RENEE BOYLE,2,0,0,0,5,0.00%
JACK DOWLING FOR MICHAEL STECHSCHULTE,1,2,0,7,1,20.00%
PATRICK LIPAJ,6,4,0,10,7,19.05%
MAKENNA DAUS FOR CARLA NEUHAUSER,1,0,0,2,1,0.00%
PATRICK WHITE FOR JAMES FLANAGAN,1,1,0,2,1,25.00%
CHLOE ROBINSON FOR ANJALI KANWAR,1,6,0,5,2,46.15%
OWEN PATTON FOR ZACHARY LAFLEUR,2,3,0,3,3,33.33%
GREGG PAUL,2,0,0,0,9,0.00%
ALEC BASHEIN FOR SEAN DRAKE,1,1,0,1,1,33.33%
PATRICK LIPAI,1,1,0,1,1,33.33%
ANAJLI KANWAR,1,3,0,1,1,60.00%
LUKE KIRKLAND,2,3,0,3,6,25.00%
LUKE HABERMEHL FOR GRANT MORGAN,1,3,0,2,1,50.00%
JORDAN MASON FOR CARLA NEUHAUSER,1,1,0,1,1,33.33%
GLEN RAMHDAN FOR DOMINIC NEVILLE,1,0,0,7,1,0.00%
MARTIN DIMICHELE FOR ANJALI KANWAR,1,1,0,1,1,33.33%
KEVIN CAFFERKEY,1,1,0,2,1,25.00%
ELISSA HOPSON AND,1,1,0,0,1,50.00%
ZACHARY LAFLEUR FOR MAKENNA DAUS,1,1,0,1,2,25.00%
OWEN PATTON AND ZACHARY LAFLEUR,1,0,0,0,2,0.00%
ROCO VERNIA OBO MARY ANN ZAKY,1,1,0,0,1,50.00%
OWEN PATTON FOR ALEXANDRIA SERDARU,1,0,0,10,2,0.00%
ALLIE SEDARU OBO STEPHEN R VERNIA,1,0,0,0,6,0.00%
DANIELLE V MUSTER FOR ALEXANDRIA SERDARU,1,2,0,0,2,50.00%
MIKAYLA ORTIZ FOR BRITTANY FLETCHER,1,1,0,1,1,33.33%
LAUREN MEYERS FOR GRANT MORGAN,1,1,0,0,1,50.00%
JAMES FLANAGAN FOR SEAN DRAKE,1,1,0,0,1,50.00%
ZACHARY LAFLEUR FOR BRITTANY FLETCHER,1,2,0,0,1,66.67%
BROITTANY STIPITCH,1,1,0,0,2,33.33%
ALLIE SEDARU OBO KRYSTAL LEE,1,2,0,0,1,66.67%
BRITTNEY STIPICH,1,1,0,0,1,50.00%
RENEE BOYLE FOR DOMINIC NEVILLE,1,0,0,0,7,0.00%
GRANT MORGAN FOR LUKE HABERMEHL,1,0,0,0,2,0.00%
SEAN DRAKE FOR PATRICK WHITE,1,1,0,0,1,50.00%
LISA MAHER,1,2,0,0,1,66.67%
PATRICK WHITE AND DAVID MEREDITH,1,1,2,0,2,20.00%
MASON MCCARTHY FOR BENJAMIN FUCHS,1,1,0,0,2,33.33%
MCKENNA DAUS FOR BRITTANY FLETCHER,1,3,0,0,1,75.00%
DOMINIC NEVILLE FOR LISA TUROSO,1,1,0,0,1,50.00%
HALIE TURIGLIOTTI FOR CARLA NEUHAUSER,1,1,0,0,1,50.00%
MAKENA DAUS,1,1,0,0,2,33.33%
ZACHARY LAFLEUR FOR OWEN M PATTON,1,0,0,0,7,0.00%
JOHN DOWNLING,1,1,0,0,1,50.00%
BRITTANY STIPICH FOR MASON MCCARTHY,2,3,0,2,4,33.33%
MARTY DI MICHELE,1,1,0,0,1,50.00%
BENJAMIN FUCHS FOR BRANDON PITEO,1,0,0,0,5,0.00%
KRYSTAL LEE AND ELEANOR WERNER,1,0,0,0,3,0.00%
GRANT MORGAN FOR HANNAH BAKER,1,0,0,0,7,0.00%
NICHOLAS FINK FOR ERICA SAMMON,1,1,0,0,1,50.00%
OWEN PATTON FOR HALIE TURIGLIATTI,1,3,0,0,2,60.00%
STEVE VERNIA OBO ALLIE SEDARU,1,1,0,1,2,25.00%
STEPHEN VERNIA FOR ANJALI KANWAR,1,1,0,2,1,25.00%
BRITTANY STIPICH FOR MASON MCACARTHY,1,0,0,0,2,0.00%
DOMINIC NEVELL,1,0,0,3,2,0.00%
KRYSTEL LEE,1,0,0,0,13,0.00%
MICHAEL STECHSCHULTE FOR JACK DOWLING,1,2,0,1,1,50.00%
ALEXANDRIA SERDARU FOR MELISSA A,1,5,0,4,1,50.00%
JOSHUA MASON FOR LUKE HABERMEHL,1,1,0,0,1,50.00%
ANDREW SZCZEPANIK FOR MARYANN ZAKY,1,3,0,0,2,60.00%
ALYSSA WAITE FOR MARTIN DIMICHELLE,1,1,0,1,2,25.00%
MALLORY FREEMAN,1,1,0,1,1,33.33%
JOSHUA MASON FOR LUCAS KIRKLAND,1,2,0,1,3,33.33%
DOMINIC NEVILLE FOR GRANT MORGAN,1,0,0,0,3,0.00%
KRYSTAL LEEL,1,0,0,0,2,0.00%
CRYSTAL LEE FOR DANIELLE V MUSTER,1,3,0,1,1,60.00%
EDWARD R,1,1,0,1,1,33.33%
ELISSA HOPSON FOR GRANT MORGAN,1,2,0,1,1,50.00%
LUKE HABERMEHL FOR JOSHUA MASON,1,1,0,0,1,50.00%
LUKE KIRKLAND FOR LIAM BLAKE,1,2,0,1,1,50.00%
CARLA NEUHAUSER AND OWEN PATTON,1,4,0,7,1,33.33%
ANJALI KANWAR FOR LUCAS KIRKLAND,1,1,0,0,2,33.33%
MEGAN HELTON AND CAROLINE MAVER,1,2,0,0,1,66.67%
ERICA SAMMON FGR JORDAN MASON,1,0,0,0,4,0.00%
KRYSTAL LEE FOR MARYANN ZAKY,2,2,0,2,2,33.33%
JOSH MASON,1,0,0,0,9,0.00%
DAVID MEREDITH FOR ALEC BASHEIN,1,1,0,1,2,25.00%
ELLE ENGLISH FOR MICHAEL STECHSCHULTE,1,3,0,0,2,60.00%
PAT LAPIJ FOR BRITTANY N STIPICH,1,2,0,2,1,40.00%
JOSEPH DOWELL,1,2,0,1,1,50.00%
CAROLINE MAVER AND JACK DOWLING,1,0,0,0,15,0.00%
JOE LUCCHESSI,1,6,0,2,1,66.67%
TIMOTHY TROUP FOR ELISSA HOPSON,1,1,0,0,1,50.00%
DOMINIC NEVILLE BY PHONE,1,0,0,0,2,0.00%
GRANT MORGAN FOR ERICA SAMMON,1,2,0,1,1,50.00%
LUKE HABERMEHL AND RENEE BOYLE FOR ALYSSA WAITE,1,0,0,0,3,0.00%
LUKAS KIRKLAND FOR CHLOE ROBINSON,1,1,0,0,2,33.33%
MALLORY PARKER FOR MIKAYLA ORTIZ,1,1,0,0,1,50.00%
LUKE HABERMEHL FOR BART FLANAGAN,1,3,0,0,1,75.00%
STEPHEN R VERNIA AND DANIELLE MUSTER,1,3,0,1,2,50.00%
ROCCO BERNIA,1,2,0,9,2,15.38%
JCOURTNEY KIRVEN FOR AMES S GALLAGHER,1,0,0,0,2,0.00%
STEVE DEVER,1,5,0,7,2,35.71%
ROCCO VERNIA FOR DANIELLE MUSTER,1,2,0,0,2,50.00%
HALIE TURGLIATTI FOR ZACHARY LAFLEUR,1,1,0,2,1,25.00%
CHAD CLEVELAND FOR KRISTIN KARKUTT,1,0,0,0,6,0.00%
NICHOLAS FINK FOR CARLEY BERMAN,1,1,0,0,2,33.33%
MASON MCCARHY FOR BENJAMIN FUCHS,1,0,0,2,1,0.00%
SAMANTHA SEUL FOR ALEXANDRIA SERDARU,1,0,0,0,7,0.00%
LUKE HABERMEHL FOR KYRIELLE WILLIAMS,2,4,0,4,3,36.36%
DANIELLE MUSTER OBO MARY ANN ZAKY,1,3,0,2,1,50.00%
JACOB COHEN,1,2,0,3,1,33.33%
JOHN T DOWLING AND JOE LUCCHESI,1,0,0,0,3,0.00%
MARK A VENEZIA FOR,1,3,0,4,2,33.33%
NORA BRYAN FOR JAMIELLE M LAMSON,1,0,0,0,6,0.00%
MICHAEL TIMMS AND ELISSA HOPSON,1,1,0,4,1,16.67%
ROCCO VERNIA FOR DANIELLE V MUSTER,1,3,0,2,1,50.00%
LUCAS KIRKLAND FOR EBEN MCNAIR,1,1,0,1,2,25.00%
LISA TUROSO FOR MASON MCCARTHY,1,0,0,0,8,0.00%
DOMINIC NEVILLE FOR JOSHUA MASON,1,4,0,1,2,57.14%
DOMINIC NEVILLE FOR MCKENNA DAUS,1,2,0,1,3,33.33%
JOSHUA MASON FOR GRANT A,1,1,0,1,1,33.33%
ZACH LAFLEUR FOR CARLA NUEHAUSER,1,2,0,0,1,66.67%
MASO NMCCARTHY FOR BRITTANY N STIPICH,1,1,0,0,1,50.00%
HANNAH BAKER FOR BRITTANY STIPICH,1,1,0,0,1,50.00%
ALLISON MCGRATH,1,3,0,6,2,27.27%
MARY ANN ZAKY OBO ALLIE SEDARU,1,1,0,0,2,33.33%
CHLOE ROBINSON FOR LIAM BLAKE,1,1,0,2,1,25.00%
